"thumbnail_s3_url","desc_style"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/mun_y_j/C_m2LpKy7Dr.jpg,"[""#여자백팩코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/mun_y_j/DB8YiXcybtp.jpg,"[""#꾸안꾸스타일"", ""#가을헤어스타일링"", ""#잔머리스타일링"", ""#가을잔머리스타일링""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/vzinv/DGcT4X-S6Qz.jpg,"[""#레더자켓코디"", ""#볼캡코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/ringerchill/DAu1Db0yMCm.jpg,"[""#streetstyle"", ""#fashionstyle"", ""#streetfashion"", ""#룩스타그램"", ""#스트릿패션"", ""#ootd""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/ssodooi/DCqbvOUyqrW.jpg,"[""#애슬레저룩""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/ssodooi/DAU_QO2SkXF.jpg,"[""#세컨패션""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/aww_young/DGJoCB4uP-p.jpg,"[""#ootdfashion"", ""#데일리패션"", ""#겨울코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/inni_onni/DAQtdelv_3e.jpg,"[""#나의패션클럽"", ""#로퍼코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/inni_onni/DBYw6vezNII.jpg,"[""#니트코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/aww_young/DEdyl1_Ou8y.jpg,"[""#오오티디패션"", ""#dailyfashion""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/inni_onni/C_fY2KMpf2U.jpg,"[""#가을코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/yuuunar/DBaDLW_zvXe.jpg,"[""#트레이닝복코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/nayouuw/DEuZtW2pGnk.jpg,"[""#오오티디"", ""#ootd""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/like__kit/DGJQL4Yzveb.jpg,"[""#등산패션"", ""#봄코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/wjdsbom/DDbwbyGJV8v.jpg,"[""#겨울코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/iskw_ntm/DFFhssqv4es.jpg,"[""#ootd""]"
